date,count
2012-09-02,1228
2014-06-03,1224
2012-08-17,1214
2012-08-14,1213
2014-01-06,1206
2014-07-04,1179
2014-06-15,1171
2015-02-01,1165
2014-06-02,1163
2014-01-01,1158
2015-10-01,1151
2015-10-02,1145
2012-08-09,1140
2015-09-30,1135
2015-09-28,1130
2015-09-20,1107
2015-09-07,1103
2015-09-19,1095
2012-08-08,1085
2015-09-29,1084
2015-10-09,1084
2015-01-01,1079
2015-10-07,1073
2015-10-08,1064
2012-07-27,1057
2012-08-18,1056
2012-07-25,1054
2015-02-02,1033
2015-10-06,1026
2015-09-26,1020
2012-08-03,1016
2014-06-08,1009
2012-07-31,1009
2015-10-05,995
2012-08-06,959
2012-08-02,958
2012-08-01,948
2015-09-27,932
2012-08-07,921
2012-08-19,920
2012-07-26,914
2015-10-16,912
2012-07-30,910
2014-06-01,892
2015-10-13,881
2015-10-03,873
2015-10-10,870
2015-10-04,857
2015-10-15,855
2015-10-14,855
2015-10-12,844
2012-08-11,842
2012-07-24,839
2012-07-23,835
2014-12-25,813
2012-07-18,790
2015-10-20,781
2015-10-11,771
2015-10-19,746
2012-07-20,740
2015-10-22,735
2015-10-21,718
2015-10-23,715
2012-07-19,704
2012-08-04,686
2012-07-16,686
2015-10-30,680
2015-10-26,643
2015-10-29,640
2012-08-12,636
2015-10-24,632
2015-10-18,630
2015-10-27,627
2012-07-28,627
2012-08-05,623
2012-07-17,619
2015-10-28,600
2015-10-17,587
2015-11-03,561
2015-11-05,554
2015-11-06,547
2012-07-21,523
2015-11-02,503
2015-11-04,502
2015-10-31,495
2015-10-25,487
2015-11-09,486
2015-11-01,484
2015-11-10,476
2015-11-11,468
2012-07-13,462
2015-11-13,446
2015-11-12,417
2015-11-07,413
2015-11-18,407
2012-07-29,406
2015-11-19,400
2012-07-22,392
2015-11-08,390
2015-11-24,389
2015-12-11,389
2015-11-17,387
2015-11-25,382
2015-12-04,376
2015-11-16,369
2015-11-20,368
2012-07-14,366
2015-12-09,357
2015-12-21,356
2015-11-14,353
2015-11-23,352
2015-12-22,350
2015-12-18,349
2015-12-07,346
2015-12-17,338
2015-12-05,338
2015-12-16,336
2015-11-15,335
2015-12-08,334
2015-11-30,332
2015-12-14,332
2015-12-23,327
2012-07-10,324
2015-12-02,324
2012-07-12,321
2015-12-10,320
2015-12-01,317
2015-12-03,317
2016-01-06,313
2016-01-08,311
2016-01-04,309
2012-07-11,309
2016-01-14,302
2015-12-12,300
2015-12-15,296
2015-11-21,295
2015-12-06,294
2016-01-05,285
2016-01-15,282
2016-01-13,270
2016-01-11,261
2015-12-13,256
2016-01-22,255
2016-01-07,255
2015-12-30,253
2016-01-09,250
2015-12-19,249
2015-12-29,248
2016-01-20,245
2016-01-29,245
2012-07-15,245
2016-01-12,245
2015-11-22,239
2016-01-19,235
2016-02-03,235
2015-11-29,231
2015-11-27,230
2016-01-27,228
2016-01-25,227
2016-01-28,227
2016-02-05,227
2015-11-28,224
2015-12-20,223
2015-12-24,221
2016-01-21,220
2016-03-11,218
2016-02-02,214
2012-07-09,214
2016-02-04,211
2016-01-26,211
2015-12-28,209
2016-02-01,207
2016-02-10,206
2016-01-18,205
2015-12-31,203
2016-02-08,201
2016-01-16,196
2016-02-12,190
2016-02-26,190
2016-01-03,190
2016-03-08,187
2016-03-12,187
2016-02-09,185
2016-02-16,182
2016-03-14,181
2016-03-17,181
2016-02-23,178
2016-02-11,178
2016-01-30,177
2016-03-09,177
2016-03-03,175
2016-03-07,173
2016-03-18,173
2016-01-02,172
2016-03-04,172
2016-03-10,171
2016-03-24,170
2016-02-18,170
2015-12-26,169
2015-12-27,169
2016-02-20,166
2016-02-22,166
2016-02-19,164
2016-01-10,164
2016-02-06,163
2016-02-17,161
2016-03-22,160
2016-03-21,159
2016-03-15,158
2016-03-23,158
2016-03-16,156
2012-07-03,154
2015-11-26,154
2016-03-25,150
2016-03-30,149
2016-01-23,148
2016-03-01,148
2016-02-24,148
2016-02-15,146
2016-04-01,146
2016-02-21,146
2016-03-19,144
2012-07-08,144
2016-03-28,143
2016-01-17,141
2016-03-02,140
2016-02-29,140
2016-02-13,137
2012-07-07,134
2016-03-31,132
2016-02-07,131
2012-07-06,131
2016-03-29,130
2016-04-04,129
2016-03-05,129
2016-01-24,125
2016-04-15,124
2016-04-08,122
2016-04-11,121
2016-04-05,121
2016-04-13,120
2016-03-26,120
2016-04-16,118
2016-03-06,118
2016-04-06,117
2016-03-13,115
2016-04-28,114
2016-03-20,114
2016-04-18,114
2016-02-27,113
2016-04-22,112
2016-05-11,112
2016-04-19,112
2016-04-21,111
2016-02-14,111
2016-05-06,109
2016-04-14,108
2016-02-25,108
2016-04-20,107
2016-04-26,107
2016-01-31,106
2016-01-01,105
2016-04-10,105
2016-04-02,105
2016-04-07,104
2016-04-27,103
2016-04-17,102
2016-04-12,102
2016-05-09,101
2016-05-12,98
2016-02-28,97
2016-05-04,94
2016-04-29,93
2016-04-25,92
2012-07-05,92
2016-04-23,90
2016-05-03,89
2016-05-05,89
2015-12-25,89
2016-05-02,84
2016-05-19,83
2016-04-09,82
2016-05-10,76
2016-04-24,74
2016-05-27,72
2016-05-18,72
2016-05-24,71
2016-05-20,71
2016-04-03,71
2016-05-16,71
2016-03-27,71
2016-05-17,70
2016-05-07,70
2016-05-13,67
2016-05-31,65
2016-07-05,62
2016-05-01,62
2016-08-05,61
2016-04-30,61
2016-06-03,58
2016-05-26,58
2016-08-06,57
2016-06-24,57
2016-09-09,57
